i want to eat bread,ich mochten brot essen
i want to eat apple,ich mochten apfel essen
i want to drink water,ich mochten wasser trinken
i want to drink beer,ich mochten bier trinken
i want to read book,ich mochten buch lesen
i want to read newspaper,ich mochten zeitung lesen
i can eat bread,ich konnen brot essen
i can eat apple,ich konnen apfel essen
i can drink water,ich konnen wasser trinken
i can drink beer,ich konnen bier trinken
i can read book,ich konnen buch lesen
i can read newspaper,ich konnen zeitung lesen
we want to eat bread,wir mochten brot essen
we want to eat apple,wir mochten apfel essen
we want to drink water,wir mochten wasser trinken
we want to drink beer,wir mochten bier trinken
we want to read book,wir mochten buch lesen
we want to read newspaper,wir mochten zeitung lesen
we can eat bread,wir konnen brot essen
we can eat apple,wir konnen apfel essen
we can drink water,wir konnen wasser trinken
we can drink beer,wir konnen bier trinken
we can read book,wir konnen buch lesen
we can read newspaper,wir konnen zeitung lesen
i eat bread,ich essen brot
i eat apple,ich essen apfel
i drink water,ich trinken wasser
i drink beer,ich trinken bier
i read book,ich lesen buch
i read newspaper,ich lesen zeitung
we eat bread,wir essen brot
we eat apple,wir essen apfel
we drink water,wir trinken wasser
we drink beer,wir trinken bier
we read book,wir lesen buch
we read newspaper,wir lesen zeitung
